TIMESTAMP,DD,HH,MM,SS,MS,US,CODE
255659784586454,29,14,9,57,845,864,0x0401
255683288218334,29,14,13,52,882,183,0x0401
255683300397737,29,14,13,53,3,977,0x0401
255702300337897,29,14,17,3,3,378,0x0401
255703070056877,29,14,17,10,700,568,0x0401
255703081954157,29,14,17,10,819,541,0x0401
255703962787243,29,14,17,19,627,872,0x0301
255703962806838,29,14,17,19,628,68,0x0301
255704065482243,29,14,17,20,654,822,0x0401
255704269665330,29,14,17,22,696,653,0x0301
255704468816040,29,14,17,24,688,160,0x0102
255708835878488,29,14,18,8,358,784,0x0401
255708847759445,29,14,18,8,477,594,0x0401
255785072996690,29,14,30,50,729,966,0x0401
255789115504421,29,14,31,31,155,44,0x0401
255789128373369,29,14,31,31,283,733,0x0401
255798218637072,29,14,33,2,186,370,0x0301
255798218656243,29,14,33,2,186,562,0x0301
255798320613646,29,14,33,3,206,136,0x0401
255798734210654,29,14,33,7,342,106,0x0102
255803076148119,29,14,33,50,761,481,0x0401
255803088061182,29,14,33,50,880,611,0x0401
255826665482168,29,14,37,46,654,821,0x0401
255831454099878,29,14,38,34,540,998,0x0401
255831466404276,29,14,38,34,664,42,0x0401
255839766235181,29,14,39,57,662,351,0x0401
255848997606252,29,14,41,29,976,62,0x0401
255849009887045,29,14,41,30,98,870,0x0401
255872668361118,29,14,45,26,683,611,0x0401
255879174616829,29,14,46,31,746,168,0x0401
255879186931945,29,14,46,31,869,319,0x0401
255910970856670,29,14,51,49,708,566,0x0401
255917608493750,29,14,52,56,84,937,0x0401
255917620810274,29,14,52,56,208,102,0x0401
255957073785046,29,14,59,30,737,850,0x0401
255981120695635,29,15,3,31,206,956,0x0401
255981132972312,29,15,3,31,329,723,0x0401
256023077981593,29,15,10,30,779,815,0x0401
256034832059562,29,15,12,28,320,595,0x0401
256034844588634,29,15,12,28,445,886,0x0401
256041579185894,29,15,13,35,791,858,0x0401
256085708597567,29,15,20,57,85,975,0x0301
256085708615506,29,15,20,57,86,155,0x0301
256085808750071,29,15,20,58,87,500,0x0401
256086214682233,29,15,21,2,146,822,0x0101
256086224108469,29,15,21,2,241,84,0x0102
256089057038717,29,15,21,30,570,387,0x0401
256089068878877,29,15,21,30,688,788,0x0401
256091110293578,29,15,21,51,102,935,0x0301
256091211580019,29,15,21,52,115,800,0x0401
256094036711886,29,15,22,20,367,118,0x0401
256094036855752,29,15,22,20,368,557,0x0301
256094136905315,29,15,22,21,369,53,0x0401
256205313067157,29,15,40,53,130,671,0x0301
256205313085975,29,15,40,53,130,859,0x0301
256205819277135,29,15,40,58,192,771,0x0101
256205828703370,29,15,40,58,287,33,0x0102
256205973741784,29,15,40,59,737,417,0x0301
256206073888570,29,15,41,0,738,885,0x0401
256209866223915,29,15,41,38,662,239,0x0401
256209866366619,29,15,41,38,663,666,0x0301
256209966997222,29,15,41,39,669,972,0x0401
256214079048003,29,15,42,20,790,480,0x0301
256214079066606,29,15,42,20,790,666,0x0301
256214585296657,29,15,42,25,852,966,0x0101
256214594722902,29,15,42,25,947,229,0x0102
256214739620447,29,15,42,27,396,204,0x0301
256214840112796,29,15,42,28,401,127,0x0401
256219178057612,29,15,43,11,780,576,0x0401
256219178201286,29,15,43,11,782,12,0x0301
256219279747050,29,15,43,12,797,470,0x0401
256221929522956,29,15,43,39,295,229,0x0401
256221929667906,29,15,43,39,296,679,0x0301
256222033851992,29,15,43,40,338,519,0x0401
256226675490343,29,15,44,26,754,903,0x0301
256226675507944,29,15,44,26,755,79,0x0301
256227190979270,29,15,44,31,909,792,0x0102
256231673501474,29,15,45,16,735,14,0x0401
256231685389673,29,15,45,16,853,896,0x0401
256236451821399,29,15,46,4,518,213,0x0401
256237070432030,29,15,46,10,704,320,0x0401
256237082346623,29,15,46,10,823,466,0x0401
256238147459286,29,15,46,21,474,592,0x0301
256238147479069,29,15,46,21,474,790,0x0301
256238250432923,29,15,46,22,504,329,0x0401
256238662972079,29,15,46,26,629,720,0x0102
256243218018420,29,15,47,12,180,184,0x0401
256243229946000,29,15,47,12,299,460,0x0401
256247855763990,29,15,47,58,557,639,0x0401
256248463738616,29,15,48,4,637,386,0x0401
256248475638526,29,15,48,4,756,385,0x0401
256253128270800,29,15,48,51,282,708,0x0401
256253736936350,29,15,48,57,369,363,0x0401
256253748846542,29,15,48,57,488,465,0x0401
256254152746651,29,15,49,1,527,466,0x0301
256254253098322,29,15,49,2,530,983,0x0401
256353165307879,29,16,5,31,653,78,0x0301
256353165326957,29,16,5,31,653,269,0x0301
256353671494317,29,16,5,36,714,943,0x0101
256353680920552,29,16,5,36,809,205,0x0102
256353825785711,29,16,5,38,257,857,0x0301
256353926655390,29,16,5,39,266,553,0x0401
256358223160513,29,16,6,22,231,605,0x0401
256358223303035,29,16,6,22,233,30,0x0301
256358324173962,29,16,6,23,241,739,0x0401
256361023440407,29,16,6,50,234,404,0x0401
256361023583391,29,16,6,50,235,833,0x0301
256361128532851,29,16,6,51,285,328,0x0401
256361192204433,29,16,6,51,922,44,0x0401
256361192349731,29,16,6,51,923,497,0x0301
256361293197282,29,16,6,52,931,972,0x0401
256361360296092,29,16,6,53,602,960,0x0401
256361360446876,29,16,6,53,604,468,0x0301
256361460599783,29,16,6,54,605,997,0x0401
256361520733330,29,16,6,55,207,333,0x0401
256361520880246,29,16,6,55,208,802,0x0301
256361623183866,29,16,6,56,231,838,0x0401
256361681183852,29,16,6,56,811,838,0x0401
256361782527711,29,16,6,57,825,277,0x0401
256361841458890,29,16,6,58,414,588,0x0401
256361841601963,29,16,6,58,416,19,0x0301
256361942951419,29,16,6,59,429,514,0x0401
256362021071999,29,16,7,0,210,719,0x0401
256362021223585,29,16,7,0,212,235,0x0301
